county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
San Francisco,65,0,65,0,2020-03-18
San Francisco,80,0,15,0,2020-03-19
San Francisco,87,0,7,0,2020-03-20
San Francisco,106,0,19,0,2020-03-21
San Francisco,134,0,28,0,2020-03-22
San Francisco,152,0,18,0,2020-03-23
San Francisco,181,1,29,1,2020-03-24
San Francisco,213,2,32,1,2020-03-25
San Francisco,261,1,48,-1,2020-03-26
San Francisco,285,2,24,1,2020-03-27
San Francisco,300,3,15,1,2020-03-28
San Francisco,333,5,33,2,2020-03-29
San Francisco,368,5,35,0,2020-03-30
San Francisco,404,5,36,0,2020-03-31
San Francisco,432,6,28,1,2020-04-01
San Francisco,473,6,41,0,2020-04-02
San Francisco,506,6,33,0,2020-04-03
San Francisco,537,6,31,0,2020-04-04
San Francisco,559,6,22,0,2020-04-05
San Francisco,586,6,27,0,2020-04-06
San Francisco,636,6,50,0,2020-04-07
San Francisco,687,7,51,1,2020-04-08
San Francisco,748,8,61,1,2020-04-09
San Francisco,797,12,49,4,2020-04-10
San Francisco,860,12,63,0,2020-04-11
San Francisco,886,12,26,0,2020-04-12
San Francisco,959,15,73,3,2020-04-13
San Francisco,968,15,9,0,2020-04-14
San Francisco,1006,17,38,2,2020-04-15
San Francisco,1039,17,33,0,2020-04-16
San Francisco,1090,20,51,3,2020-04-17
San Francisco,1144,20,54,0,2020-04-18
San Francisco,1153,20,9,0,2020-04-19
San Francisco,1223,20,70,0,2020-04-20
San Francisco,1232,20,9,0,2020-04-21
San Francisco,1255,21,23,1,2020-04-22
San Francisco,1312,21,57,0,2020-04-23
San Francisco,1345,22,33,1,2020-04-24
San Francisco,1341,22,-4,0,2020-04-25
San Francisco,1403,23,62,1,2020-04-26
San Francisco,1453,23,50,0,2020-04-27
San Francisco,1471,23,18,0,2020-04-28
San Francisco,1489,23,18,0,2020-04-29
San Francisco,1518,26,29,3,2020-04-30
San Francisco,1552,29,34,3,2020-05-01
San Francisco,1632,29,80,0,2020-05-02
San Francisco,1692,30,60,1,2020-05-03
San Francisco,1760,31,68,1,2020-05-04
San Francisco,1779,31,19,0,2020-05-05
San Francisco,1804,31,25,0,2020-05-06
San Francisco,1852,32,48,1,2020-05-07
San Francisco,1890,33,38,1,2020-05-08
San Francisco,1944,34,54,1,2020-05-09
San Francisco,1953,34,9,0,2020-05-10
San Francisco,1974,35,21,1,2020-05-11
San Francisco,1981,35,7,0,2020-05-12
San Francisco,2004,35,23,0,2020-05-13
San Francisco,2029,35,25,0,2020-05-14
San Francisco,2062,36,33,1,2020-05-15
San Francisco,2094,36,32,0,2020-05-16
San Francisco,2132,36,38,0,2020-05-17
San Francisco,2183,36,51,0,2020-05-18
San Francisco,2186,36,3,0,2020-05-19
San Francisco,2199,37,13,1,2020-05-20
San Francisco,2248,37,49,0,2020-05-21
San Francisco,2251,40,3,3,2020-05-22
San Francisco,2312,40,61,0,2020-05-23
San Francisco,2318,40,6,0,2020-05-24
San Francisco,2358,40,40,0,2020-05-25
San Francisco,2363,40,5,0,2020-05-26
San Francisco,2394,40,31,0,2020-05-27
San Francisco,2417,40,23,0,2020-05-28
